;Date;DAX;DlogDAX;y1;y2;y3
76;2000-04-19;7216,71;0,280576323;-0,677835821;0,4594614;0,4594614
77;2000-04-20;7157,95;-0,817554325;0,484129611;0,234381481;0
78;2000-04-24;7157,95;0;-0,623080773;0,38822965;0,38822965
79;2000-04-25;7280,51;1,697728757;3,401431739;11,56973787;0
80;2000-04-26;7388,55;1,473058991;-0,765362674;0,585780023;0,585780023
81;2000-04-27;7221,74;-2,283558351;0,311196057;0,096842986;0
82;2000-04-28;7414,68;2,636589779;-0,895433589;0,801801313;0,801801313
83;2000-05-01;7414,68;0;0,9986394;0,997280651;0
84;2000-05-02;7555,92;1,886954308;-1,342945184;1,803501767;1,803501767
85;2000-05-03;7376,93;-2,397379907;-2,304336406;5,309966273;5,309966273
86;2000-05-04;7386,71;0,132487671;-0,66303893;0,439620623;0,439620623
87;2000-05-05;7530,82;1,932149401;1,408215118;1,983069818;0
88;2000-05-08;7408,09;-1,643128733;-0,452367359;0,204636228;0,204636228
89;2000-05-09;7280,54;-1,736761102;-0,882957212;0,779613439;0,779613439
90;2000-05-10;7120,86;-2,217653064;-2,297212459;5,277185084;5,277185084
91;2000-05-11;7259,48;1,927969628;1,521067199;2,313645423;0
92;2000-05-12;7269,28;0,134904857;1,005733237;1,011499343;0
93;2000-05-15;7195,15;-1,025006157;2,32396278;5,400803003;0
94;2000-05-16;7371,06;2,415433425;1,117089927;1,247889906;0
95;2000-05-17;7211,51;-2,188316147;-1,15374965;1,331138254;1,331138254
96;2000-05-18;7181,58;-0,415894615;-0,719939179;0,518312422;0,518312422
97;2000-05-19;6989,03;-2,717763762;-2,237675125;5,007189966;5,007189966
98;2000-05-22;6912,96;-1,09438662;-0,581768965;0,338455128;0,338455128
99;2000-05-23;6927,69;0,212851355;-2,073659328;4,30006301;4,30006301
100;2000-05-24;6834,88;-1,348751097;1,561777393;2,439148627;0
101;2000-05-25;6978,87;2,084809922;-1,27566123;1,627311574;1,627311574
102;2000-05-26;6938,33;-0,5825901;-0,358452037;0,128487863;0,128487863
103;2000-05-30;7119,26;2,574267588;3,042313425;9,255670974;0
104;2000-05-31;7109,67;-0,13479582;0,012610025;0,000159013;0
105;2000-06-01;7272,76;2,268003263;2,205861587;4,865825341;0
106;2000-06-02;7438,95;2,259384799;2,025760598;4,103706002;0
107;2000-06-05;7408,02;-0,416651273;-0,406933976;0,165595261;0,165595261
108;2000-06-06;7359,8;-0,653043867;-0,485862207;0,236062084;0,236062084
109;2000-06-07;7292,98;-0,912051682;0,807773217;0,652497571;0
110;2000-06-08;7243,13;-0,685880823;-0,555766523;0,308876429;0,308876429
111;2000-06-09;7254,53;0,157266791;-0,254468322;0,064754127;0,064754127
112;2000-06-12;7235,64;-0,260728628;-0,864814195;0,747903591;0,747903591
113;2000-06-13;7268,91;0,458753403;1,48174298;2,195562258;0
114;2000-06-14;7350,94;1,122184712;0,185122361;0,034270288;0
115;2000-06-15;7328,62;-0,304096542;0,611143233;0,373496051;0
116;2000-06-16;7131,4;-2,727966219;-0,950613104;0,903665273;0,903665273
117;2000-06-19;7198,8;0,940677688;1,364493373;1,861842165;0
118;2000-06-20;7227,27;0,394702604;-0,563216315;0,317212617;0,317212617
119;2000-06-21;7100,09;-1,775391148;0,232903786;0,054244174;0
120;2000-06-22;7053,67;-0,655941127;-1,853624459;3,435923635;3,435923635
121;2000-06-23;6980,41;-1,044039445;-0,93552003;0,875197726;0,875197726
